version,Pad,Len,Rate,ChannelFrequency,ChannelFlags,dBm_AntSignal,Antenna,subtype,type,proto,FCfield,ID,addr1,addr2,addr3,SC,addr4,Dot11Elt1.ID,Dot11Elt1.len,Dot11Elt1.info
0,0,18,24.0,2422,OFDM+2GHz,-25,1,13,1,0,,0,a4:da:22:34:19:e5,None,None,None,None,
0,0,18,36.0,2422,OFDM+2GHz,-19,1,0,2,0,to-DS+protected,9728,24:f5:a2:72:d2:e4,a4:da:22:34:19:e5,28:80:88:9d:36:fb,46176,None,
0,0,18,24.0,2422,OFDM+2GHz,-25,1,13,1,0,,0,a4:da:22:34:19:e5,None,None,None,None,
0,0,18,1.0,2422,CCK+2GHz,-21,1,8,0,0,,0,ff:ff:ff:ff:ff:ff,24:f5:a2:72:d2:e4,24:f5:a2:72:d2:e4,57408,None,0,16,IoT@Research Lab,
0,0,18,24.0,2422,OFDM+2GHz,-23,1,13,1,0,,0,a4:da:22:34:19:e5,None,None,None,None,
0,0,18,1.0,2422,CCK+2GHz,-79,1,4,0,0,,0,ff:ff:ff:ff:ff:ff,18:74:2e:89:0c:57,ff:ff:ff:ff:ff:ff,57008,None,0,0,,
0,0,18,54.0,2422,OFDM+2GHz,-33,1,0,2,0,from-DS+protected,11264,40:f0:2f:a2:05:b2,24:f5:a2:72:d2:e4,28:80:88:9d:36:fb,57424,None,
0,0,18,54.0,2422,OFDM+2GHz,-19,1,0,2,0,to-DS+protected,11264,24:f5:a2:72:d2:e4,40:f0:2f:a2:05:b2,28:80:88:9d:36:fb,42784,None,
0,0,18,24.0,2422,OFDM+2GHz,-33,1,13,1,0,,0,40:f0:2f:a2:05:b2,None,None,None,None,
0,0,18,1.0,2422,CCK+2GHz,-33,1,8,0,0,,0,ff:ff:ff:ff:ff:ff,24:f5:a2:72:d2:e4,24:f5:a2:72:d2:e4,57440,None,0,16,IoT@Research Lab,
0,0,18,54.0,2422,OFDM+2GHz,-35,1,0,2,0,from-DS+protected,11264,a4:da:22:34:19:e5,24:f5:a2:72:d2:e4,28:80:88:9d:36:fb,57456,None,
0,0,18,24.0,2422,OFDM+2GHz,-17,1,13,1,0,,1536,24:f5:a2:72:d2:e4,None,None,None,None,
0,0,18,36.0,2422,OFDM+2GHz,-17,1,0,2,0,to-DS+protected,9728,24:f5:a2:72:d2:e4,a4:da:22:34:19:e5,28:80:88:9d:36:fb,46208,None,
0,0,18,36.0,2422,OFDM+2GHz,-17,1,0,2,0,to-DS+retry+protected,9728,24:f5:a2:72:d2:e4,a4:da:22:34:19:e5,28:80:88:9d:36:fb,46208,None,
0,0,18,36.0,2422,OFDM+2GHz,-19,1,0,2,0,to-DS+retry+protected,9728,24:f5:a2:72:d2:e4,a4:da:22:34:19:e5,28:80:88:9d:36:fb,46208,None,
