Label,IPLength,IPHeaderLength,TTL,           Protocol,SourcePort,DestPort,SequenceNumber,AckNumber           ,WindowSize,TCPHeaderLength,TCPLength,TCPStream     ,TCPUrgentPointer,IPFlags,IPID,IPchecksum,TCPflags,TCPChecksum
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51286,8883,0,0,29200,40,0,21,0,0x40,0x3239,0x450e,0x0002,0xeea6
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51286,8883,0,0,29200,40,0,21,0,0x40,0x323a,0x450d,0x0002,0xecb1
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51286,8883,0,0,29200,40,0,21,0,0x40,0x323b,0x450c,0x0002,0xe8c6
filtered_pcap\_TCP_Miscellaneous,153,20,64,6,54031,443,2509,2701,7264,32,101,1,0,0x40,0x73c3,0xbf6d,0x0018,0x7d8d
filtered_pcap\_TCP_Miscellaneous,52,20,64,6,54031,443,2610,2786,7264,32,0,1,0,0x40,0x73c4,0xbfd1,0x0010,0xee89
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51286,8883,0,0,29200,40,0,21,0,0x40,0x323c,0x450b,0x0002,0xe0f2
filtered_pcap\_TCP_Miscellaneous,52,20,64,6,54031,443,2610,2887,7264,32,0,1,0,0x40,0x73c5,0xbfd0,0x0010,0xd09a
filtered_pcap\_TCP_Miscellaneous,137,20,64,6,54031,443,2610,2887,7264,32,85,1,0,0x40,0x73c6,0xbf7a,0x0018,0x6d90
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51286,8883,0,0,29200,40,0,21,0,0x40,0x323d,0x450a,0x0002,0xd146
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51286,8883,0,0,29200,40,0,21,0,0x40,0x323e,0x4509,0x0002,0xb1f6
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51288,8883,0,0,29200,40,0,22,0,0x40,0xc1ec,0xb55a,0x0002,0x41e8
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51288,8883,0,0,29200,40,0,22,0,0x40,0xc1ed,0xb559,0x0002,0x3ff3
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51288,8883,0,0,29200,40,0,22,0,0x40,0xc1ee,0xb558,0x0002,0x3c08
filtered_pcap\_TCP_Miscellaneous,137,20,64,6,54031,443,2695,2988,7264,32,85,1,0,0x40,0x73c7,0xbf79,0x0018,0x5508
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51288,8883,0,0,29200,40,0,22,0,0x40,0xc1ef,0xb557,0x0002,0x3434
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51288,8883,0,0,29200,40,0,22,0,0x40,0xc1f0,0xb556,0x0002,0x2488
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51290,8883,0,0,29200,40,0,23,0,0x40,0x78a9,0xfe9d,0x0002,0xa7be
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51290,8883,0,0,29200,40,0,23,0,0x40,0x78aa,0xfe9c,0x0002,0xa5c9
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51290,8883,0,0,29200,40,0,23,0,0x40,0x78ab,0xfe9b,0x0002,0xa1df
filtered_pcap\_TCP_Miscellaneous,137,20,64,6,54031,443,2780,3089,7264,32,85,1,0,0x40,0x73c8,0xbf78,0x0018,0xe029
